"X","study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.date.adjusted","end.date.adjusted","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","fate","how.fate.determined","cause.of.death","comments"
66,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182251","Fentale","Fentale_182251",NA,NA,NA,NA,"1/22/19 9:02","5/4/19 1:42",NA,NA,9.062495232,39.91034317,11.74617863,40.98275375,"Ethiopia","Ethiopia",101.6939583,"alive",NA,NA,NA
67,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182253","Fer","Fer_182253",NA,NA,NA,NA,"5/15/19 1:04","5/31/19 0:00",NA,NA,41.59442902,25.64137077,41.59849548,25.63868523,"Bulgaria","Bulgaria",15.95561343,"alive",NA,NA,NA
68,"Egyptian Vulture wild-birds Israel","Neophron percnopterus","180319","Gamla 2018 H36 Green","Gamla 2018 H36 Green_180319",NA,"Chick","N","N","11-Jul-18","9-Nov-18",NA,NA,32.89871979,35.76559448,10.68748665,29.22837639,"Israel","Sudan",121,NA,NA,NA,"Tagged in the nest"
69,"Egyptian Vulture wild-birds Israel","Neophron percnopterus","180322","Gamla 2018 J4107","Gamla 2018 J4107_180322",NA,"Chick","N","N","11-Jul-18","2-Jun-19",NA,NA,32.89861298,35.76422882,15.40148163,24.96822357,"Israel","Chad",326,NA,NA,NA,"Tagged in the nest"
70,"Egyptian vulture Kobierzycki Gardon","Neophron percnopterus","707","Gardon_2016_Ad_wild_MW707","Gardon_2016_Ad_wild_MW707 _707",NA,"7","N","N","3/29/16 6:46","5/31/19 0:54",NA,NA,44.2314,4.41436,44.37492,4.43744,"France","France",1157.755208,"alive","telemetry data: still moving",NA,"adult captured at breeding site in Gardon. born in 2009 in Herault and ringed in 2009."
71,"Egyptian vultures Dagestan2","Neophron percnopterus","114","Gurman","Gurman_114",NA,NA,NA,NA,"18-Mar-19","7-Jul-19",NA,NA,43.00113,47.20156,13.63651,43.82801,"Russia","Yemen",111,NA,NA,NA,NA
72,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180323","H42 Blue","H42 Blue_180323",NA,"171","Y","N","13-Dec-18","14-Jan-19",NA,NA,32.75046158,35.01750183,30.16059875,38.83016205,"Israel","Saudi Arabia",32,"Probably dead","Same location for a long period, was searched for 4 months after disapearnace with nothing found",NA,"Age units are days"
73,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171086","H42 Green","H42 Green_171086",NA,"570","Y","N","13-Dec-17","7-Jul-19",NA,NA,32.75216293,35.01342392,30.50692558,34.20275116,"Israel","Israel",571,"Alive",NA,NA,"Age units are days"
74,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171084","H50 Green","H50 Green_171084",NA,"207","Y","N","13-Dec-17","9-Aug-18",NA,NA,32.75217056,35.01344299,28.13286972,34.20415878,"Israel","Egypt",239,"Dead","Found","Found in a drinking pool, possibly drowned after exhaustion","Age units are days"
75,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180324","H54 Green","H54 Green_180324",NA,"551","Y","N","22-Dec-18","21-May-19",NA,NA,32.75208282,35.01375961,36.31739807,40.22041702,"Israel","Syrian Arab Republic",150,NA,NA,NA,"Age units are days"
76,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180325","H57 Green","H57 Green_180325",NA,"549","Y","N","23-Dec-18","5-Apr-19",NA,NA,32.75209427,35.01347733,38.42480469,37.14835739,"Israel","Turkey",103,"Dead","Found","Electrocuted","Age units are days"
77,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","16124","H60 Blue","H60 Blue_16124",NA,"550","Y","N","13-Dec-17","7-Jul-19",NA,NA,32.75217819,35.01341629,33.07972336,35.67808151,"Israel","Israel",571,"Alive",NA,NA,"Age units are days"
78,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180326","H70 Green","H70 Green_180326",NA,"543","Y","N","22-Dec-18","7-Jul-19",NA,NA,32.75210953,35.0135231,39.93068695,40.65409088,"Israel","Israel",197,"Alive",NA,NA,"Age units are days"
