species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,transmitter.mass.grams.binned,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage,comments
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Belgin,171346,Belgin_171346,8/9/18 1:56,9/17/18,9/18/18 0:17,41.63591003,25.85634422,38.14328766,28.8684864,Bulgaria,Mediterranean Sea,39.93148148,likely dead,2,unknown,Y,N,N,inferred from transmissions,drowned,Ornitela,backpack,30,30-40g,0.724600656,1.000023148,Bulgaria,Turkey,40,N,1,3,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Blanka,171345,Blanka_171345,8/2/18 6:02,10/8/18,10/9/18 0:00,41.64996719,25.84464073,11.79960632,41.72454453,Bulgaria,Ethiopia,77.7497338,confirmed dead,2,F,Y,Y,N,carcass found,probably injured by people/animals and suffered to death,Ornitela,backpack,30,30-40g,0.818655736,1.000010417,Bulgaria,Ethiopia,68,Y,2,4,juvenile,central & eastern,dead,non-breeding,The bird died on 21.10 in the morning
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Boyana,171357,Boyana_171357,5/16/18 0:16,10/30/20,10/31/20 0:00,41.59446335,25.64115906,15.72388649,35.81471252,Bulgaria,NA,898.1742593,alive,11,F,Y,Y,N,active,NA,Ornitela,backpack,30,30-40g,0.101380656,1.0003125,Bulgaria,Sudan,899,Y,29,40,adult,central & eastern,alive,NA,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Deni,200636,Deni_200636,8/3/20 4:57,10/30/20,10/31/20 0:00,41.59466171,25.64152527,14.29486656,19.50807953,Bulgaria,NA,87.95199074,alive,2,,Y,Y,N,active,NA,Ornitela,legloop,30,30-40g,0.095260928,1.000163194,Bulgaria,Chad,89,Y,2,4,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ertale,182252,Ertale_182252,1/26/19 9:05,10/30/20,10/31/20 0:00,11.54074,40.81602,10.65952,41.17808,Ethiopia,NA,642.766331,alive,54,unknown,Y,N,N,active,NA,Ornitela,backpack,30,30-40g,0.079931977,1.000103009,Ethiopia,Ethiopia,644,N,21,75,adult,central & eastern,alive,NA,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA"
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Fer,182253,Fer_182253,5/15/19 1:04,12/16/19,12/17/19 0:00,41.59443,25.64137,36.71949,28.72986,Bulgaria,Turkey,534.1948843,confirmed dead,11,M,Y,Y,N,carcass found,Unknown,Ornitela,backpack,30,30-40g,0.023567791,1.000398148,Bulgaria,Turkey,216,Y,7,18,adult,central & eastern,dead,fall migration,Most probably died due to exhaustion
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Hedjet,171349,Hedjet_171349,8/2/19 5:27,10/3/20,10/31/20 0:00,41.63582,25.85594,15.16983,18.83415,Bulgaria,NA,428.1618287,alive,2,unknown,Y,N,N,active,NA,Ornitela,backpack,30,30-40g,0.863480597,7.948943287,Bulgaria,Chad,365,N,14,16,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Izi,171354,Izi_171354,5/22/20 3:53,10/30/20,10/31/20 0:00,41.59438,25.64132,32.61349,35.01388,Bulgaria,Egypt,160.9961227,alive,11,unknown,Y,Y,N,active,NA,Ornitela,legloop,30,30-40g,1.390414176,0.999105324,Bulgaria,Israel,162,Y,5,16,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lenka,171345,Lenka_171345,8/26/19 2:30,11/15/19,11/17/19 0:00,41.64299,25.87877,35.02529,26.07087,Bulgaria,Greece,81.0878588,confirmed dead,2,F,Y,Y,N,carcass found,Unknown,Ornitela,backpack,30,30-40g,0.014720629,1.000652778,Bulgaria,NA,82,Y,2,4,juvenile,central & eastern,dead,non-breeding,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lucky,193632,Lucky_193632,6/24/20 8:31,10/28/20,10/31/20 0:00,41.59387,25.64417,11.52976,29.79725,Bulgaria,NA,125.7726505,alive,25,unknown,Y,N,N,active,NA,Ornitela,legloop,30,30-40g,1.105791179,0.997793981,Bulgaria,Sudan,127,N,4,29,adult,central & eastern,alive,NA,
