Population,Origin,Season,age,surv,lcl,ucl
central and east,captive,south of 25°N,49,0.991620298639091,0.983709611091776,0.995804613905011
western Europe,wild,south of 25°N,49,0.99672918472803,0.993181215297989,0.998581557467344
western Europe,captive,south of 25°N,49,0.995701618061823,0.989592847601204,0.998362444671702
central and east,wild,migration,49,0.972271765390255,0.94996836581934,0.985494936128982
central and east,captive,migration,49,0.964076719307071,0.931807382961445,0.981365656242439
western Europe,wild,migration,49,0.985734598330777,0.970461794276003,0.9935742686462
western Europe,captive,migration,49,0.981293986087604,0.954364681874526,0.992642291388482
central and east,wild,north of 25°N,52,0.988603832278295,0.980547515556846,0.99367280338932
central and east,captive,north of 25°N,52,0.985204825579936,0.973060760646157,0.991632740419849
western Europe,wild,north of 25°N,52,0.994163910025229,0.98876999915057,0.99717734296399
western Europe,captive,north of 25°N,52,0.992365354728079,0.982519478648888,0.996794413131385
central and east,wild,south of 25°N,52,0.994165933179643,0.989000231194717,0.997067848756861
central and east,captive,south of 25°N,52,0.992332494347447,0.985021631276286,0.996197974196399
western Europe,wild,south of 25°N,52,0.997013519772021,0.993727701195016,0.998716977604396
western Europe,captive,south of 25°N,52,0.996081501052612,0.990491682890457,0.998517478784409
central and east,wild,migration,52,0.974625218780546,0.953493337867307,0.987032351432474
central and east,captive,migration,52,0.9671146765886,0.936366159373336,0.983289299283023
western Europe,wild,migration,52,0.986954365991794,0.972517910168924,0.994218425006539
western Europe,captive,migration,52,0.982885957752148,0.957709766856636,0.993365054455465
