"id.tag","species","study.name","id","tag","start.date","end.date","start.lat","start.long","end.lat","end.long","mean.GPS.dist.last10fixes","mean.GPS.fixrate.last10fixes","mean.battery.charge.percent.last10fixes","deployment.duration","fate","age.at.deployment","sex","captive.raised","rehabilitated","how.fate.determined","cause.of.death","death.or.failure.date","comments","start.country","end.country","n.locs","start.date.adjusted","end.date.adjusted"
"18 White_3516","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","18 White","3516","2014-04-22 04:00:23","2014-04-27 04:00:23","32.7534508","35.0138107","32.7645128","35.0122282","0.095451460133167","1",NA,"5","Probably dead","302",NA,"Y","N","Last location hostile and with good GSM cover, no data for a long period",NA,NA,"Age units are days","Israel","Israel","6",NA,NA
"19 White_3517","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","19 White","3517","2014-04-22 04:00:23","2014-08-27 04:00:23","32.7534673","35.0137975","18.1764597","42.0374481","0.650900668566377","1",NA,"127","Probably dead","297",NA,"Y","N","Same location for 4 months",NA,NA,"Age units are days","Israel","Saudi Arabia","126",NA,NA
"A02 Green 2013_3514","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A02 Green 2013","3514","2014-04-04 05:00:23","2017-04-24 05:00:23","32.7520933","35.0134463","32.7527297","35.0125028","0.963721352802031","0.999972222222222",NA,"1116","Probably dead","298",NA,"Y","N","Last location very hostile, no data for a long period",NA,NA,"Age units are days","Israel","Israel","1117",NA,NA
"A17 Green_17113","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A17 Green","17113","2017-04-16 00:05:08","2017-07-04 00:06:07","32.5593185424805","34.9385528564453","32.5566864013672","34.9369163513184","0.0102468360927114","1.00000231481481","100","79.0006828703704","Dead","663",NA,"Y","N","Found","Hit a train when feeding on a dead boer",NA,"Age units are days","Israel","Israel","80",NA,NA
"A25 Green_171087","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A25 Green","171087","2017-12-13 00:05:39","2018-04-22 02:37:54","32.7523002624512","35.0133895874023","32.7521896362305","35.0135231018066","0.0716629373084679","0.998981481481481","99.5","130.105729166667","Probably dead","582",NA,"Y","N","Last location very hostile, no data for a long period",NA,NA,"Age units are days","Israel","Israel","131",NA,NA
"A26 Green_171080","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A26 Green","171080","2017-12-13 04:06:06","2019-05-30 02:17:35","32.7521781921387","35.0134048461914","29.9438304901123","33.7244606018066","1.60465995613288","0.996923611111111","91.6","532.924641203704","Alive","208",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Egypt","356",NA,NA
"A46 Green_17112","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A46 Green","17112","2017-04-16 00:05:15","2018-05-11 01:40:30","32.558952331543","34.9392013549805","37.7361450195312","41.3302574157715","0.477057464888909","0.998398148148148","97.1","390.066145833333","Dead","691",NA,"Y","N","Found","Electrocuted",NA,"Age units are days","Israel","Turkey","391",NA,NA
"A47 Green_171082","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","A47 Green","171082","2017-12-13 04:05:37","2018-08-24 02:32:23","32.7522583007812","35.013370513916","13.0051918029785","43.6787910461426","1.23051411331959","1.00089236111111","99.7","253.93525462963",NA,"182",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Yemen","255",NA,NA
"C39 Blue_17111","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","C39 Blue","17111","2017-04-16 00:05:05","2018-07-23 02:20:31","32.5589027404785","34.9394340515137","32.5589866638184","34.938892364502","0.000161375789096901","1.0004537037037","100","463.094050925926","Dead","701",NA,"Y","N","Found","Hit a train when feeding on a dead boer",NA,"Age units are days","Israel","Israel","464",NA,NA
"EV10_17113","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","EV10","17113","2017-07-15 00:05:45","2017-08-22 00:07:25","32.4717864990234","34.9839248657227","18.0593376159668","31.1617774963379","1.74605542188792","1.00013078703704","96.1","38.0011574074074","Alive","224",NA,"Y","N","Seen",NA,NA,"Age units are days, transmitter stopped working, bird seen alive summer 2019","Israel","Sudan","39",NA,NA
"H42 Blue_180323","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H42 Blue","180323","2018-12-13 15:05:42","2019-01-13 03:55:33","32.7504615783691","35.0175018310547","30.2008476257324","38.7671508789062","0.510122942815711","0.998751157407407","36.9","30.5346180555556","Probably dead","171",NA,"Y","N","Same location for a long period, was searched for 4 months after disapearnace with nothing found",NA,NA,"Age units are days","Israel","Saudi Arabia","32",NA,NA
"H42 Green_171086","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H42 Green","171086","2017-12-13 04:06:06","2019-05-30 02:08:29","32.7521629333496","35.0134239196777","31.488245010376","35.3166847229004","1.1727449186171","1.00050462962963","82.3","532.918321759259","Alive","570",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Palestine","427",NA,NA
"H50 Green_171084","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H50 Green","171084","2017-12-13 04:06:06","2018-08-08 02:43:18","32.7521705627441","35.0134429931641","28.1348819732666","34.3683967590332","1.06583695121011","1.0013912037037","99.4","237.9425","Dead","207",NA,"Y","N","Found","Found in a drinking pool, possibly drowned after exhaustion",NA,"Age units are days","Israel","Egypt","239",NA,NA
"H54 Green_180324","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H54 Green","180324","2018-12-22 04:09:31","2019-05-20 05:29:20","32.752082824707","35.0137596130371","36.3223724365234","40.2536888122559","1.13720348616792","1.00088888888889","100","149.055428240741",NA,"551",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Syrian Arab Republic","147",NA,NA
"H57 Green_180325","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H57 Green","180325","2018-12-23 04:10:33","2019-04-04 06:17:58","32.7520942687988","35.0134773254395","37.7419548034668","36.8273735046387","0.648799664605769","1.01013078703704","79.4","102.088483796296","Dead","549",NA,"Y","N","Found","Electrocuted",NA,"Age units are days","Israel","Turkey","98",NA,NA
"H60 Blue_16124","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H60 Blue","16124","2017-12-13 05:22:00","2019-05-30 01:33:19","32.7521781921387","35.0134162902832","33.0796051025391","35.6779365539551","0.00378241722479608","0.999958333333333","87.4","532.84119212963","Alive","550",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Syrian Arab Republic","360",NA,NA
"H70 Green_180326","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H70 Green","180326","2018-12-22 04:10:54","2019-05-30 01:19:33","32.7521095275879","35.0135231018066","39.9306755065918","40.6531448364258","0.86019526161732","0.99847337962963","97.9","158.881006944444","Alive","543",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Turkey","156",NA,NA
"H73 Blue_180327","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H73 Blue","180327","2018-12-24 04:10:34","2019-03-29 03:02:57","32.7522201538086","35.0135307312012","37.0190887451172","35.5369682312012","0.541408177413318","0.998719907407407","98","94.9530439814815","Almost certainly dead","577",NA,"Y","N","GPS on roads after a few days on the ground",NA,NA,"Age units are days","Israel","Turkey","96",NA,NA
"H81 Green_171081","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H81 Green","171081","2017-10-25 09:12:59","2019-05-30 01:53:30","32.7534790039062","35.0140037536621","36.9435081481934","34.6818466186523","1.9132130436491","0.996924768518519","88.2","581.694803240741","Alive","155",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Turkey","511",NA,NA
"H92 Green_180320","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H92 Green","180320","2018-12-23 04:10:03","2019-03-18 03:22:33","32.7522315979004","35.013484954834","32.7521209716797","35.0133476257324","0.00180692168552054","0.999152777777778","42.8","84.9670138888889",NA,"223",NA,"Y","N",NA,NA,NA,"Age units are days, transmitter fell, seen alive March 2019","Israel","Israel","73",NA,NA
"H94 Blue_171085","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","H94 Blue","171085","2017-12-13 04:06:05","2019-05-17 02:07:37","32.752124786377","35.0134391784668","36.4006118774414","33.6734390258789","1.34637692290982","1.00160648148148","96.1","519.917731481481","Dead","545",NA,"Y","N","Found","Electrocuted",NA,"Age units are days","Israel","Turkey","521",NA,NA
