species,study.name,id,tag,id.tag,fate,how.fate.determined.clean,how.fate.determined,comments,sex,age.at.deployment,captive.raised,rehabilitated,n.locs,start.date,end.date,start.lat,start.long,end.lat,end.long,deployment.duration,cause.of.death,start.country,end.country,age.at.deployment.month,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,mean.battery.charge.percent.last10fixes
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Ertale,182252,Ertale_182252,alive,active,still transmitting,NA,unknown,ad,N,N,125,1/26/19 9:05,5/30/19 0:32,11.54074192,40.81601715,39.50958633,32.15328979,123.6433333,NA,Ethiopia,Turkey,54,0.321795336,0.999230324,100
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Wesal,182264,Wesal_182264,alive,active,still transmitting,"confiscated by RSCN in Jordan, rehabilitated for >1 year, and released",unknown,ad,N,Y,46,4/15/19 6:14,5/30/19 0:18,30.69724083,35.57994461,37.00724411,39.23025131,44.75239583,NA,Jordan,Turkey,54,0.304600552,0.999075231,99.9
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Andres,136414,Andres_136414,alive,active,still transmitting,NA,F,ad,N,N,1840,5/15/14 23:00,5/30/19 0:00,33.38967,-112.68083,33.258,-112.2695,1840.041667,NA,United States,United States,54,0.294210382,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Artful_Dodger,163485,Artful_Dodger_163485,alive,active,still transmitting,NA,unknown,ad,N,N,358,6/7/18 2:00,5/30/19 0:00,47.0105,-124.147,46.96967,-123.89633,356.9166667,NA,United States,United States,54,0.048978404,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Bariloche2,135434,Bariloche2_135434,alive,active,still transmitting,NA,M,ad,N,N,1657,11/14/14 18:00,5/30/19 0:00,-41.18717,-71.14417,-10.90517,-62.27717,1657.25,NA,Argentina,Brazil,54,0.097970603,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Captain Haddock,163488,Captain Haddock_163488,alive,active,still transmitting,NA,unknown,ad,N,N,837,1/22/17 19:00,5/30/19 0:00,33.42833,-112.696,48.55383,-123.46867,857.2083333,NA,United States,Canada,54,0.02138698,1.05,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Castagnino,163486,Castagnino_163486,alive,active,still transmitting,NA,unknown,ad,N,N,552,11/24/17 19:00,5/30/19 0:00,-41.128,-71.24983,-35.95617,-71.59767,551.2083333,NA,Argentina,Chile,54,0.039634567,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Coy,174648,Coy_174648,alive,active,still transmitting,NA,unknown,ad,N,N,364,6/1/18 23:00,5/30/19 0:00,47.00033,-123.94783,47.28,-123.37617,362.0416667,NA,United States,United States,54,0.118730362,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Edgar,175727,Edgar_175727,alive,active,still transmitting,NA,unknown,ad,N,N,258,9/15/18 23:00,5/30/19 0:00,33.282,-111.14517,33.3605,-111.13733,256.0416667,NA,United States,United States,54,0.051050926,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Gash,157420,Gash_157420,alive,active,still transmitting,NA,M,ad,N,N,1097,5/18/16 18:00,5/30/19 0:00,33.428,-112.69567,32.78683,-113.41967,1106.25,NA,United States,United States,54,0.502688339,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Grayland,174649,Grayland_174649,alive,active,still transmitting,NA,unknown,ad,N,N,363,6/2/18 17:00,5/30/19 0:00,46.8325,-124.1075,49.78783,-123.1745,361.2916667,NA,NA,Canada,54,0.114047652,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Julie,127777,Julie_127777,alive,active,still transmitting,NA,F,ad,N,N,2170,5/22/13 14:00,5/30/19 0:00,32.88683,-112.03733,32.774,-112.122,2198.416667,NA,United States,United States,54,0.090937202,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Leo,135431,Leo_135431,alive,active,still transmitting,NA,unknown,ad,N,N,1813,5/30/14 17:00,5/30/19 0:00,53.659,-107.55533,53.65867,-107.5535,1825.291667,NA,Canada,Canada,54,0.047175837,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Superior,171645,Superior_171645,alive,active,still transmitting,NA,unknown,ad,N,N,256,9/16/18 21:00,5/30/19 0:00,33.283,-111.14467,33.3295,-111.17533,255.125,NA,United States,United States,54,0.034995854,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Two-thirds,136412,Two-thirds_136412,alive,active,still transmitting,NA,M,ad,N,N,1640,11/18/14 18:00,5/30/19 0:00,-41.187,-71.144,-30.1075,-56.80817,1653.25,NA,Argentina,Brazil,54,0.179274761,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Whitey,53798,Whitey_53798,alive,active,still transmitting,NA,unknown,ad,N,N,2743,2/5/11 17:01,5/29/19 19:15,-36.8777,-64.2501,-17.4691,-62.553,3035.09338,NA,Argentina,Bolivia,54,0.105671299,1.641748843,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Car Talk,135430,Car Talk_135430,alive,active,still transmitting,NA,F,ad,N,N,1640,5/17/14 18:00,5/29/19 0:00,33.3895,-112.683,32.0275,-112.1525,1837.25,NA,United States,United States,54,0.000102,1.004166667,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Tintin,163487,Tintin_163487,alive,active,still transmitting,NA,unknown,ad,N,N,854,1/22/17 19:00,5/28/19 18:00,33.42833,-112.696,37.12217,-119.77867,855.9583333,NA,United States,United States,54,0.020928627,1.016666667,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Jenny,149507,Jenny_149507,alive,active,still transmitting,NA,F,ad,N,N,1391,7/30/15 10:00,5/28/19 2:00,41.58367,25.65033,41.59167,25.44517,1397.666667,NA,Bulgaria,Bulgaria,54,0.018658919,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Tire Pile,135429,Tire Pile_135429,alive,active,still transmitting,NA,F,ad,N,N,1801,5/17/14 17:00,5/28/19 0:00,33.38883,-112.68033,33.42067,-112.42983,1836.291667,NA,United States,United States,54,0.060591258,1.120833333,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Aoos,118154,Aoos_118154,alive,active,still transmitting,"tagged in Greece, but bred in Albania",F,ad,N,N,1159,4/17/15 17:00,5/27/19 8:17,40.13267,20.54217,40.13586,20.5388,1500.637303,NA,Albania,Albania,54,0.253557971,2.04171875,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Malcom,163489,Malcom_163489,alive,active,still transmitting,NA,unknown,ad,N,N,246,9/16/18 22:00,5/25/19 0:00,33.28283,-111.1025,33.20033,-111.12083,250.0833333,NA,United States,United States,54,0.010383476,1.1875,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Black Knight,120507,Black Knight_120507,alive,active,NA,NA,unknown,ad,N,N,887,5/15/13 21:53,5/17/19 20:34,41.8189,-76.4188,41.6763,-75.3394,2192.945556,NA,United States,United States,54,0.022135462,4.816766204,NA
