species,study.name,population,population.binned,migrant,id,start.date,end.date,mortality.date,age.at.deployment.month,deployment.duration,deployment.duartion.month,age.at.fate.month,age.at.fate,age.at.fate.simple,tag,id.tag,start.country,end.country,fate.old,fate.annual.stage,fate.final,fate.final.binned,how.fate.determined.clean,cause.of.death,cause.of.death.simple,death.anthro,sex,age.at.deployment,age.at.deployment.clean,origin,rehabilitated,n.locs,start.lat,start.long,end.lat,end.long,data.owner.proofed,how.fate.determined,comments,lat.mort,long.mort
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Elodie,8/28/16 6:44,9/13/17 3:00,9/13/17 3:00,2,380.8441204,12.69480401,14.69480401,juvenile,juvenile,135956,Elodie_135956,Bulgaria,Niger,confirmed dead,non-breed.,confirmed dead,dead,transmitter recovered,shot,persecuted,y,F,juv,juvenile,captive,N,379,43.1555,26.27962,15.01317,7.67117,y,retrieved transmitter and asked locals,NA,15.01317,7.67117
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Lazaros,6/23/12 22:00,3/31/13 10:00,3/31/13 10:00,54,280.5,9.35,63.35,adult,adult,108050,Lazaros_108050,Greece,Greece,confirmed dead,spring mig.,confirmed dead,dead,carcass found,poisoning,poisoning,y,F,ad,adult,wild,Y,282,39.789,21.7325,41.05583,24.14917,y,carcass retrieved,Tagged after being found poisoned in Meteora; poisoned again one year later,41.05583,24.14917
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ilin,8/19/13 7:47,10/27/13 17:00,10/27/13 17:00,2,69.38402778,2.312800926,4.312800926,juvenile,juvenile,130675,Ilin_130675,The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,confirmed dead,breeding,confirmed dead,dead,carcass found,predation,predation,n,unknown,juv,juvenile,wild,N,24,41.762,21.735,41.98833,21.4495,y,found carcass,"Found dead near the nest, killed by predator",41.98833,21.4495
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ilina,8/5/13 9:00,10/2/13 6:00,9/25/13 0:00,2,57.875,1.929166667,3.929166667,juvenile,juvenile,130674,Ilina_130674,The former Yugoslav Republic of Macedonia,NA,confirmed dead,fall mig.,confirmed dead,dead,carcass found,predation,predation,n,unknown,juv,juvenile,wild,N,48,41.769,21.72467,36.37,27.46383,y,found feathers,Most probably killed by Bonneli's eagle,36.32067,30.084
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Blanka,8/2/18 6:02,10/19/18 0:02,10/9/18 0:00,2,77.7497338,2.591657793,4.591657793,juvenile,juvenile,171345,Blanka_171345,Bulgaria,Ethiopia,confirmed dead,non-breed.,confirmed dead,dead,carcass found,probably injured by people/animals and suffered to death,unknown,NA,F,juv,juvenile,captive,N,79,41.64996719,25.84464073,11.90906811,41.59094238,y,retrieved transmitter and carcass,The bird died on 21.10 in the morning,11.79961,41.72454
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Iste,6/10/14 2:36,5/30/19 4:00,5/30/19 4:00,54,1815.05838,60.501946,114.501946,adult,adult,132086,Iste_132086,Turkey,Turkey,alive,NA,alive,alive,active,NA,NA,NA,unknown,ad,adult,wild,N,1747,40.0831,43.6674,39.8344,42.5493,y,still transmitting,NA,39.8332,42.5659
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Logiya,12/1/13 5:00,5/30/19 16:00,5/30/19 16:00,30,2006.458333,66.88194443,96.88194443,adult,adult,118174,Logiya_118174,Ethiopia,Iran (Islamic Republic of),alive,NA,alive,alive,active,NA,NA,NA,unknown,3rd yr,immature,wild,N,1825,11.71533,40.974,39.08683,46.96567,y,still transmitting,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA",39.08683,46.96567
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Haydi,6/9/14 2:46,4/27/16 8:00,1/1/16 0:00,24,688.2179051,22.94059684,46.94059684,immature,adult,132084,Haydi_132084,Turkey,Kenya,likely dead,non-breed.,likely dead,dead,inferred from transmissions,NA,NA,NA,unknown,3rd yr,immature,wild,N,671,40.0813,43.6665,1.6534,37.8024,y,static transmissions in Kenya,"tried to get Kenyan colleagues to track down tag, but were unable",1.7408,37.8962
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Cabuk,7/1/14 3:00,12/8/15 2:00,12/8/15 2:00,13,524.9583218,17.49861073,30.49861073,immature,adult,132087,Cabuk_132087,Turkey,Ethiopia,likely transmitter failure,non-breed.,likely dead,dead,inferred from transmissions,NA,NA,NA,unknown,2nd yr,immature,wild,N,511,40.0833,43.6676,11.0695,40.364,y,"long gap in trasnmission, during which time bird moved",NA,11.0731,40.3362
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Ardahan,6/22/13 1:14,9/17/14 0:27,9/17/14 0:27,54,451.9668403,15.06556134,69.06556134,adult,adult,210,Ardahan_210,Turkey,Saudi Arabia,likely transmitter failure,fall mig.,likely transmitter failure,unknown,inferred from transmissions,NA,NA,NA,unknown,ad,adult,wild,N,451,40.07148,43.66676,16.81774,42.84321,y,GSM transmitter went offline in area previosuly known to loose signal,GSM transmitter went offline in area previosuly known to loose signal,18.66377,41.71488
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Tuzluca,6/22/13 1:14,10/5/16 0:29,10/5/16 0:29,54,1200.968542,40.03228473,94.03228473,adult,adult,209,Tuzluca_209,Turkey,Saudi Arabia,likely transmitter failure,fall mig.,likely transmitter failure,unknown,inferred from transmissions,NA,NA,NA,unknown,ad,adult,wild,N,1193,40.081,43.66704,19.86006,41.10614,y,entered no GSM area,GSM transmitter went offline in area previosuly known to loose signal,21.3274,40.15558
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Agri,6/22/13 1:00,7/19/14 14:00,7/19/14 14:00,54,392.5416667,13.08472222,67.08472222,adult,adult,130662,Agri_130662,Turkey,Turkey,unknown,breeding,likely transmitter failure,unknown,unknown,NA,NA,NA,unknown,ad,adult,wild,N,324,40.08083,43.667,39.7845,43.24833,y,unknown,NA,39.7845,43.24833
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Aras,8/18/12 13:00,2/4/13 1:00,2/4/13 1:00,26,169.5,5.65,31.65,immature,adult,118176,Aras_118176,Turkey,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,3rd yr,immature,wild,N,164,40.12183,43.5835,10.1725,40.24533,y,unknown,NA,10.1725,40.24533
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Armenia2,7/22/15 5:01,10/18/15 0:01,10/18/15 0:01,25,87.79166667,2.926388889,27.92638889,immature,adult,48500703868,Armenia2_48500703868,Armenia,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,3rd yr,immature,wild,N,89,39.491799,46.35705,7.746899,43.0665,y,unknown,NA,7.746899,43.0665
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Armenia3,7/24/15 0:02,11/7/15 0:02,11/7/15 0:02,54,106,3.533333333,57.53333333,adult,adult,48500704009,Armenia3_48500704009,Armenia,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,ad,adult,wild,N,91,39.5061,46.345799,6.093983,44.76245,y,unknown,NA,6.093983,44.76245
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Orada,7/21/15 12:08,2/10/17 0:00,2/10/17 0:00,13,569.4944444,18.98314815,31.98314815,immature,adult,48500703778,Orada_48500703778,Armenia,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,2nd yr,immature,wild,N,571,39.511333,46.398683,9.370999,40.442116,y,unknown,NA,9.370999,40.44212
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Serhat,6/17/14 15:59,10/30/14 1:12,10/30/14 1:12,54,134.3840278,4.479467593,58.47946759,adult,adult,10007,Serhat_10007,Turkey,Ethiopia,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,5th yr,adult,wild,N,124,40.19459,43.63137,10.5359,40.455,y,unknown,NA,10.5359,40.455
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Igdir,8/22/12 5:00,3/1/15 1:00,2/20/15 0:00,54,920.8333333,30.69444444,84.69444444,adult,adult,118175,Igdir_118175,Turkey,Ethiopia,confirmed dead,non-breed.,confirmed dead,dead,transmitter recovered,poisoning,poisoning,y,unknown,ad,adult,wild,N,874,40.12167,43.5835,4.2755,42.06417,y,bird / tag recovery,NA,4.51,42.5635
