species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,comments
Neophron percnopterus,Egyptian vulture in France (grands Causses-Baronnies)  ID_PROG 961,western europe,Baronnies_2019_Imm_wild_OR181635_5T,181635,Baronnies_2019_Imm_wild_OR181635_5T_181635,2019-04-01,2020-10-13,2020-10-14,44.43438339,5.322945118,17.47292519,-10.77097034,France,Mauritania,576.6970833,alive,22,unknown,Y,N,Y,active,NA,Ornitela OT-30-3GC,legloop,30,0.211834624,1.000123843,France,Mauritania,249,N,18,40,adult,Western Europe,alive,"born wild, found weakened in Baronnies in autumn 2018. kept in rehabilitation whole winter. released in Baronnies in 01 April 2019; recaptured and rehabilitated in Spain on 27/06/2019 (broken wing after collision with cable); released on 06/05/2020 in Spain (Aragon)"
Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees ID_PROG 457,western europe,Basque_2019_Imm_wild_OR171005_PM0,171005,Basque_2019_Imm_wild_OR171005_PM0_171005,2019-07-18,2019-09-09,2019-09-10,43.14750671,-1.29905498,36.16388321,-5.514261723,France,Morroco,52.97891204,likely dead,1,unknown,Y,N,N,inferred from transmissions,NA,Ornitela OT-30-3GC,legloop,30,1.239029741,1.000555556,France,NA,25,N,1,2,juvenile,Western Europe,dead,Pulli in the nest 18/07/2019 Munhoa
Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees ID_PROG 457,western europe,Basque_2019_Imm_wild_OR180110_PC2,180110,Basque_2019_Imm_wild_OR180110_PC2_180110,2019-07-18,2020-07-19,2020-07-20,43.09663391,-1.150748372,14.14871788,-9.09484005,France,Mali,469.4086227,alive,1,unknown,Y,N,N,active,NA,Ornitela OT-30-3GC,legloop,30,0.073592457,0.999978009,France,Mali,341,N,12,13,juvenile,Western Europe,alive,Juvenile in the nest 18/07/2019 MZ
Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees ID_PROG 457,western europe,Basque_2020_Imm_wild_OR180109_PR9,180109,Basque_2020_Imm_wild_OR180109_PR9_180109,2020-07-31,2020-09-24,2020-09-25,43.11460876,-1.083263278,35.33777237,-5.488054752,France,Morroco,54.7269213,unknown,1,unknown,Y,N,N,NA,NA,Ornitela OT-30-3GC,legloop,30,1.454614689,0.998846065,France,Morocco,56,N,1,2,juvenile,Western Europe,unknown,Juvenile tagged inthe nest 31/07/2020
Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,BatuecasA,17020,BatuecasA_17020,2017-06-15,2019-05-29,2019-05-30,41.05353546,-6.663703442,41.06276703,-6.766273499,Spain,Spain,1228.187407,alive,24,M,Y,N,N,active,NA,"Ornitela ""OrniTrack‐30 solar GPS‐GSM""",backpack,30,0.004043278,0.998988426,Spain,Spain,714,N,23,47,adult,Western Europe,alive,NA
Neophron percnopterus,ISPRA,italy,Beatrice,AF5AF11F,Beatrice_AF5AF11F,2019-08-10,2019-08-18,2019-08-19,40.6772,16.5969,40.6395,16.659,Italy,Italy,7.647430556,unknown,26,F,Y,Y,N,unknown,unknown,Milsar GsmRadio Tag-M9,backpack,16,0.009268982,0.993185442,Italy,Italy,9,Y,0,26,adult,Balkans & Italy,unknown,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Belgin,171346,Belgin_171346,2018-08-09,2018-09-17,2018-09-18,41.63591,25.85634,38.14328766,28.8684864,Bulgaria,Turkey,39.93148148,likely dead,2,unknown,Y,N,N,inferred from transmissions,drowned,Ornitela,backpack,30,0.724600656,1.000023148,Bulgaria,Turkey,40,N,1,3,juvenile,Balkans & Italy,dead,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Berenice,130672,Berenice_130672,2013-08-02,2013-09-08,2013-09-09,39.8,21.68933,34.2145,23.16867,Greece,NA,36.95833333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,0.816405146,1.0375,Greece,NA,35,N,1,3,juvenile,Balkans & Italy,dead,track ends in sea
Neophron percnopterus,ISPRA,italy,Bianca_IHB,AF5AF11F,Bianca_IHB_AF5AF11F,2018-08-16,2018-09-11,2018-09-12,40.6451833,16.66185,37.6823367,12.6137,Italy,Italy,26.83435185,confirmed dead,2,F,Y,Y,N,carcass found,shot / persecuted,Milsar GsmRadio Tag-M9,backpack,16,0.762305986,1.000019676,Italy,NA,24,Y,0,2,juvenile,Balkans & Italy,dead,X rays revealed many gunshot in the carcass
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Bibei-2HN,137397,Bibei-2HN_137397,2015-07-20,2019-05-30,2019-05-30,40.46833,-3.83983,40.61617,-4.72033,Spain,Spain,1927.833333,alive,2,F,Y,N,N,active,NA,Microwave PTT-100 GPS/Argos solar,backpack,45,0.116304971,1,Spain,Spain,1353,N,46,48,adult,Western Europe,alive,NA
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Birba,200140,Birba_200140,2020-08-09,2020-10-15,2020-10-16,42.71598,11.51457,16.64053154,-3.664605141,Italy,Mali,80.99572917,alive,2,F,y,y,N,active,NA,Ornitela OT25,backpack,25,0.636392762,1.001318287,Italy,Mali,67,Y,2,4,juvenile,Balkans & Italy,alive,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Blanka,171345,Blanka_171345,2018-08-02,2018-10-08,2018-10-09,41.64997,25.84464,11.79960632,41.72454453,Bulgaria,Ethiopia,77.7497338,confirmed dead,2,F,Y,Y,N,carcass found,probably injured by people/animals and suffered to death,Ornitela,backpack,30,0.818655736,1.000010417,Bulgaria,Ethiopia,68,Y,2,4,juvenile,Balkans & Italy,dead,The bird died on 21.10 in the morning
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Boris,149505,Boris_149505,2015-07-21,2019-05-30,2019-05-30,41.59483,25.64133,41.61667,25.65183,Bulgaria,Bulgaria,1927.875,alive,54,M,Y,N,N,active,NA,Microwave satellite,backpack,45,0.015276484,1,Bulgaria,Bulgaria,1410,N,46,100,adult,Balkans & Italy,alive,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Boyana,171357,Boyana_171357,2018-05-16,2019-05-29,2019-05-30,41.59446,25.64116,13.19594479,17.18088722,Bulgaria,Chad,898.1742593,alive,11,F,Y,Y,N,active,NA,Ornitela,backpack,30,0.031986049,0.999791667,Bulgaria,Chad,379,Y,12,23,adult,Balkans & Italy,alive,NA
Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,Bruco,48505470927,Bruco_48505470927,2017-07-20,2018-01-04,2018-01-04,41.19502,-6.680866,13.897483,-9.689316,Spain,Mali,168,likely dead,37,M,Y,N,N,unknown,NA,Ecotone SAKER H LF,backpack,35,0.066385515,1,Spain,Mali,164,N,5,42,adult,Western Europe,dead,Fate unknown - data stopped transmitting in south-central Mali
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,C39 Blue,17111,C39 Blue_17111,2017-04-16,2018-07-22,2018-07-23,32.5589,34.93943,32.55886078,34.93918991,Israel,Israel,463.0940509,confirmed dead,24,unknown,Y,Y,N,transmitter recovered,Hit a train when feeding on a dead boer,Ornitela OT-30,legloop,30,0.000124782,1.000471065,Israel,Israel,463,Y,15,39,adult,Middle East,dead,NA
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Cabuk,132087,Cabuk_132087,2014-07-01,2015-12-07,2015-12-08,40.0833,43.6676,11.0731,40.3362,Turkey,Ethiopia,523.9583218,likely dead,13,unknown,Y,N,N,inferred from transmissions,NA,Northstar 30g Argos/GPS Solar PTTs,backpack,30,0.173287127,1,Turkey,Ethiopia,522,N,17,30,adult,Middle East,dead,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Calimera 75659,75659,Calimera 75659_75659,2009-07-30,2011-07-26,2011-07-26,40.78217,-2.17733,40.8285,-1.86067,Spain,Spain,725.7083333,unknown,54,F,Y,N,N,unknown,NA,solar-powered GPS Microwave telemetry ,backpack,45,0.157716696,1.425,Spain,Spain,599,N,23,77,adult,Western Europe,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Calimero 89731,89731,Calimero 89731_89731,2009-07-30,2012-08-29,2012-08-29,40.7845,-2.20067,40.78617,-2.20033,Spain,Spain,1126,likely dead,54,M,Y,N,N,unknown,NA,solar-powered GPS Microwave telemetry ,backpack,45,0.117368329,1.8,Spain,Spain,863,N,36,90,adult,Western Europe,dead,NA
Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Camaces,17017,Camaces_17017,2017-07-31,2017-09-08,2017-09-11,41.00911331,-6.743571758,37.9450798,-6.836569786,Spain,Morocco,38.58157407,unknown,1,F,Y,N,N,unknown,NA,"Ornitela ""OrniTrack‐30 solar GPS‐GSM""",backpack,30,0.504613255,0.998958333,Spain,Spain,23,N,1,2,juvenile,Western Europe,unknown,The animal was in a very bad body condition when it was marked. Surely this prevented him from surviving the conditions of the migratory trip when crossing the desert. The team responsible for marking has always ruled out any relationship with that power line.
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Carmen,48500501963,Carmen_48500501963,2015-09-07,2015-10-17,2015-10-17,39.10623,16.8919,36.840683,14.599466,Italy,Italy,110.9993056,confirmed dead,3,F,Y,Y,N,terminated over water,unknown,Ecotone Saker,backpack,35,0.410932861,1,Italy,NA,41,Y,1,4,juvenile,Balkans & Italy,dead,looks to have died at see and tx floated long after
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Castor,135955,Castor_135955,2014-05-14,2016-02-15,2016-02-15,40.62333,21.51933,6.76017,42.83233,Greece,Ethiopia,641.5833333,unknown,54,unknown,Y,N,Y,unknown,unknown,Microwave satellite,backpack,45,0.01079245,1,Greece,Ethiopia,643,N,21,75,adult,Balkans & Italy,unknown,tagged after found disorientated due to lead poisoning
Neophron percnopterus,Egyptian vulture in France (grands Causses-Baronnies)  ID_PROG 961,western europe,Causses_2018_Imm_wild_OR171075_4X,171075,Causses_2018_Imm_wild_OR171075_4X_171075,2018-04-05,2019-11-18,2019-11-19,44.20375443,3.255665064,32.93344116,1.835491657,France,Algeria,591.5345023,likely dead,22,unknown,Y,N,Y,inferred from transmissions,NA,Ornitela OT-30-3GC,legloop,30,0.56647336,0.998688657,France,Algeria,587,N,19,41,adult,Western Europe,dead,"born wild in Gorges de la Dourbie, found weakened in Sept 2017. released in sept 2017, found again. Kept in captivity and rehabilitated the whole winter 2017-2018. released 05/04/2018. recovered again in Dourbie Canyon on 16 May 2018. "
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Chandoiro-201253,201253,Chandoiro-201253_201253,2020-07-24,2020-10-29,2020-10-31,42.47942,-6.842127,14.51154804,-6.650145054,Spain,Mauritania,97.02798611,alive,2,F,Y,N,N,active,NA,Ornitela OT-30 2G,backpack,30,0.353229994,0.9996875,Spain,Mali,98,N,3,5,juvenile,Western Europe,alive,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,middle east,Chuupa,182258,Chuupa_182258,2019-01-20,2020-10-30,2020-10-31,8.9010933,39.90649,9.73187542,41.25141525,Ethiopia,NA,648.7091782,alive,8,,Y,N,N,still transmitting,NA,Ornitela,backpack,30,0.004709808,1.000028935,Ethiopia,Ethiopia,650,N,21,29,adult,Middle East,alive,breeds in central Anatolia
