Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
149,Boyana_171357_2018.png,0,0,0,0,1,1,1,1,2,2,1,1
150,Boyana_171357_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
151,C39 Blue_17111_2017.png,0,0,0,1,1,1,1,1,2,1,1,1
152,C39 Blue_17111_2018.png,1,1,1,2,2,1,1,0,0,0,0,0
153,Cabuk_132087_2014.png,0,0,0,0,0,0,1,1,2,1,1,1
154,Cabuk_132087_2015.png,1,1,1,1,2,2,1,1,1,2,1,1
155,Cabuk_132087_2016.png,0,0,0,0,0,0,0,0,0,0,0,0
156,Camaces_17017_2017.png,0,0,0,0,0,0,1,1,2,0,0,0
157,Carmen_48500501963_2015.png,0,0,0,0,0,0,0,0,1,2,2,2
158,Castor_135955_2014.png,0,0,0,0,1,1,1,2,2,1,1,1
159,Castor_135955_2015.png,1,1,2,2,1,1,1,2,2,1,1,1
160,Castor_135955_2016.png,1,1,0,0,0,0,0,0,0,0,0,0
161,Causses_2018_Imm_wild_OR171075_4X_171075_2018.png,0,0,0,1,1,1,1,1,2,2,1,1
162,Causses_2018_Imm_wild_OR171075_4X_171075_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
163,Chuupa_182258_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
164,Djibouti_127589_2013.png,0,0,0,1,1,1,1,1,1,1,1,1
165,Djibouti_127589_2014.png,1,1,1,1,1,0,0,0,0,0,0,0
166,Dobromir_118150_2012.png,0,0,0,0,0,0,0,1,2,2,1,1
167,Dobromir_118150_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
168,Dobromir_118150_2014.png,1,1,1,1,2,1,1,2,2,1,1,1
169,Dobromir_118150_2015.png,1,1,1,1,2,1,1,2,2,1,1,1
170,Dobromir_118150_2016.png,1,1,1,1,2,1,1,2,2,0,0,0
171,Elodie_135956_2016.png,0,0,0,0,0,0,0,1,2,2,1,1
172,Elodie_135956_2017.png,1,1,1,1,1,1,1,1,1,0,0,0
173,Ertale_182252_2019.png,1,1,1,2,2,0,0,0,0,0,0,0
174,EV10_17113_2017.png,0,0,0,0,0,0,1,2,0,0,0,0
175,Fentale_182251_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
176,Fer_182253_2019.png,0,0,0,0,1,0,0,0,0,0,0,0
177,Gamla 2018 H36 Green_180319_2018.png,0,0,0,0,0,0,1,1,2,1,1,0
178,Gamla 2018 J4107_180322_2018.png,0,0,0,0,0,0,1,2,2,1,1,1
179,Gamla 2018 J4107_180322_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
180,Gardon_2016_Ad_wild_MW707 _707_2016.png,0,0,1,1,1,1,1,1,2,1,1,1
181,Gardon_2016_Ad_wild_MW707 _707_2017.png,1,1,2,1,1,1,1,1,2,1,1,1
182,Gardon_2016_Ad_wild_MW707 _707_2018.png,1,1,2,1,1,1,1,1,2,1,1,1
183,Gardon_2016_Ad_wild_MW707 _707_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
184,Guipuzcoa 01-Zuri-5533_5533_2017.png,0,0,0,0,0,0,1,1,2,1,1,1
185,Guipuzcoa 02-Endoia-5534_5534_2017.png,0,0,0,0,0,0,1,1,2,0,0,0
186,Guipuzcoa 03 - Ekhi - 5533_5533_2018.png,0,0,0,0,0,0,1,1,2,1,1,1
187,Guipuzcoa 03 - Ekhi - 5533_5533_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
188,Gurman_114_2017.png,0,0,0,0,0,0,1,1,2,2,1,1
189,Gurman_114_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
190,H42 Blue_180323_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
191,H42 Blue_180323_2019.png,2,0,0,0,0,0,0,0,0,0,0,0
192,H42 Green_171086_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
193,H42 Green_171086_2018.png,1,1,1,1,1,1,1,1,2,1,1,1
194,H42 Green_171086_2019.png,0,0,0,2,1,0,0,0,0,0,0,0
195,H50 Green_171084_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
196,H50 Green_171084_2018.png,1,1,1,1,1,1,1,2,0,0,0,0
