id.tag.year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Gamla Schuna_L I05 Red_190593_2019,0,0,0,0,0,0,1,1,2,1,1,1
Gamla Schuna_L I05 Red_190593_2020,1,1,1,1,2,2,1,2,2,1,0,0
Gamla Schuna_S I04 Red_190592_2019,0,0,0,0,0,0,1,1,2,1,1,1
Gamla Schuna_S I04 Red_190592_2020,1,1,1,1,1,1,1,1,1,1,0,0
Gardon_2016_Ad_wild_MW707 _707_2016,0,0,1,1,1,1,1,1,2,1,1,1
Gardon_2016_Ad_wild_MW707 _707_2017,1,1,2,1,1,1,1,1,2,1,1,1
Gardon_2016_Ad_wild_MW707 _707_2018,1,1,2,1,1,1,1,1,2,1,1,1
Gardon_2016_Ad_wild_MW707 _707_2019,1,1,2,1,1,1,1,1,2,1,1,1
Gardon_2016_Ad_wild_MW707 _707_2020,1,1,2,0,0,0,0,0,0,0,0,0
Gazam I01 Red_190589_2019,0,0,0,0,0,1,1,2,2,0,0,0
Guipuzcoa 01-Zuri-5533_5533_2017,0,0,0,0,0,0,1,1,2,1,1,1
Guipuzcoa 02-Endoia-5534_5534_2017,0,0,0,0,0,0,1,1,2,0,0,0
Guipuzcoa 03-Ekhi-5533_5533_2018,0,0,0,0,0,0,1,1,2,1,1,1
Guipuzcoa 03-Ekhi-5533_5533_2019,1,1,1,1,1,1,1,1,0,0,0,0
Gurman_114_2017,0,0,0,0,0,0,1,1,2,2,1,1
Gurman_114_2018,1,1,1,1,1,1,1,1,1,1,1,1
H42 Blue_180323_2018,0,0,0,0,0,0,0,0,0,0,0,1
H42 Blue_180323_2019,1,0,0,0,0,0,0,0,0,0,0,0
H42 Green_171086_2017,0,0,0,0,0,0,0,0,0,0,0,1
H42 Green_171086_2018,1,1,1,1,1,1,1,1,2,1,1,1
H42 Green_171086_2019,0,0,0,2,1,1,1,1,2,1,1,1
H42 Green_171086_2020,1,1,2,2,1,1,1,2,1,1,0,0
H50 Green_171084_2017,0,0,0,0,0,0,0,0,0,0,0,1
H50 Green_171084_2018,1,1,1,1,1,1,1,2,0,0,0,0
H54 Green_180324_2018,0,0,0,0,0,0,0,0,0,0,0,1
H54 Green_180324_2019,1,1,1,1,1,1,1,1,2,1,1,1
H54 Green_180324_2020,1,1,1,2,1,1,1,1,2,0,0,0
H57 Green_180325_2018,0,0,0,0,0,0,0,0,0,0,0,1
H57 Green_180325_2019,1,1,1,1,0,0,0,0,0,0,0,0
H60 Blue_16124_2017,0,0,0,0,0,0,0,0,0,0,0,1
H60 Blue_16124_2018,1,1,1,1,1,1,1,2,1,1,1,1
H60 Blue_16124_2019,0,0,0,2,2,1,1,2,2,0,0,0
H70 Green_180326_2018,0,0,0,0,0,0,0,0,0,0,0,1
H70 Green_180326_2019,1,1,1,1,1,1,1,1,2,2,1,1
H70 Green_180326_2020,1,1,1,2,1,1,1,1,2,2,0,0
H73 Blue_180327_2018,0,0,0,0,0,0,0,0,0,0,0,1
H73 Blue_180327_2019,1,1,1,1,0,0,0,0,0,0,0,0
H81 Green_171081_2017,0,0,0,0,0,0,0,0,0,2,2,1
H81 Green_171081_2018,1,1,1,1,1,1,1,1,1,1,1,1
H81 Green_171081_2019,1,1,1,1,2,1,0,0,0,0,0,0
H92 Green_180320_2018,0,0,0,0,0,0,0,0,0,0,0,1
H92 Green_180320_2019,1,1,1,0,0,0,0,0,0,0,0,0
H94 Blue_171085_2017,0,0,0,0,0,0,0,0,0,0,0,1
H94 Blue_171085_2018,1,1,1,1,1,1,1,2,2,1,1,1
H94 Blue_171085_2019,1,1,2,2,1,0,0,0,0,0,0,0
Haydi_132084_2014,0,0,0,0,0,1,1,1,2,2,1,1
Haydi_132084_2015,1,1,1,2,2,1,1,1,2,2,1,1
Haydi_132084_2016,1,1,1,1,1,1,1,1,1,1,0,0
HBC IB5 Red_190587_2020,0,0,0,0,0,0,0,1,1,2,0,0
Hedjet_171349_2019,0,0,0,0,0,0,0,1,2,1,1,1
Hedjet_171349_2020,1,1,1,1,1,1,1,1,1,1,0,0
Heracles_130676_2013,0,0,0,0,0,0,0,1,2,0,0,0
Huebra_17021_2017,0,0,0,0,1,1,1,1,2,2,1,1
Huebra_17021_2018,1,2,1,1,1,1,1,1,1,2,1,1
Huebra_17021_2019,1,2,1,1,0,0,0,0,0,0,0,0
Huesca 01-REKI13_48511907154_2019,0,0,0,0,0,0,1,2,2,1,1,1
Huesca 01-REKI13_48511907154_2020,1,1,1,1,1,1,1,1,1,1,0,0
Huesca 02-REKI28_48500498481_2019,0,0,0,0,0,0,1,2,2,1,1,0
Iberia_171076_2019,0,0,0,0,0,0,0,0,0,1,2,0
Ibrahim_131248_2013,0,0,0,0,0,0,0,1,2,0,0,0
Igdir_118175_2012,0,0,0,0,0,0,0,1,2,2,1,1
Igdir_118175_2013,1,1,2,1,1,1,1,1,2,2,1,1
